t,T,ferrite,pearlite,bainite,martensite,austenite
182.0,909.0,0.0,0.0,0.0,0.0,1.0
184.0,908.0,0.0,0.0,0.0,0.0,1.0
186.0,907.0,0.0,0.0,0.0,0.0,1.0
188.0,906.0,0.0,0.0,0.0,0.0,1.0
190.0,904.9999999999999,0.0,0.0,0.0,0.0,1.0
192.0,903.9999999999998,0.0,0.0,0.0,0.0,1.0
194.0,903.0,0.0,0.0,0.0,0.0,1.0
196.0,902.0,0.0,0.0,0.0,0.0,1.0
198.0,901.0,0.0,0.0,0.0,0.0,1.0
200.0,900.0000000000001,0.0,0.0,0.0,0.0,1.0
202.0,899.0000000000001,0.0,0.0,0.0,0.0,1.0
204.0,897.9999999999999,0.0,0.0,0.0,0.0,1.0
206.0,897.0,0.0,0.0,0.0,0.0,1.0
208.0,896.0,0.0,0.0,0.0,0.0,1.0
210.0,895.0,0.0,0.0,0.0,0.0,1.0
212.0,893.9999999999999,0.0,0.0,0.0,0.0,1.0
214.0,893.0000000000001,0.0,0.0,0.0,0.0,1.0
216.0,891.9999999999999,0.0,0.0,0.0,0.0,1.0
218.0,891.0,0.0,0.0,0.0,0.0,1.0
220.0,890.0,0.0,0.0,0.0,0.0,1.0
222.0,889.0,0.0,0.0,0.0,0.0,1.0
224.0,887.9999999999998,0.0,0.0,0.0,0.0,1.0
226.0,886.9999999999995,0.0,0.0,0.0,0.0,1.0
228.0,885.9999999999995,0.0,0.0,0.0,0.0,1.0
230.0,884.9999999999995,0.0,0.0,0.0,0.0,1.0
232.0,883.9999999999999,0.0,0.0,0.0,0.0,1.0
234.0,882.9999999999998,0.0,0.0,0.0,0.0,1.0
236.0,882.0,0.0,0.0,0.0,0.0,1.0
238.0,881.0000000000001,0.0,0.0,0.0,0.0,1.0
240.0,879.9999999999999,0.0,0.0,0.0,0.0,1.0
242.0,879.0,0.0,0.0,0.0,0.0,1.0
244.0,878.0000000000001,0.0,0.0,0.0,0.0,1.0
246.0,876.9999999999998,0.0,0.0,0.0,0.0,1.0
248.0,875.9999999999995,0.0,0.0,0.0,0.0,1.0
250.0,874.9999999999998,0.0,0.0,0.0,0.0,1.0
